PREGUNTA	RESPUESTA
EN EL LENGUAJE DE CHAT, ¿CUÁL DE ESTAS OPCIONES SUELE SIGNIFICAR REÍRSE A CARCAJADAS?	LOL
¿QUÉ PRESIDENTE ARGENTINO DIJO LA FRASE GOBERNAR ES FÁCIL, LO DIFÍCIL ES CONDUCIR?	JUAN DOMINGO PERÓN
¿CUÁL ES EL NOMBRE DE PILA DEL EX TÉCNICO DE LA SELECCIÓN ARGENTINA EL LOCO BIELSA?	MARCELO
¿A QUÉ PRÓCER ARGENTINO PERTENECE LA FRASE SERÁS LO QUE DEBAS SER O NO SERÁS NADA?	SAN MARTÍN
¿CON QUÉ COLOR SE ASOCIA POPULARMENTE AL PERIODISMO SENSACIONALISTA?	AMARILLO
EN EL LENGUAJE DE LAS REDES SOCIALES, ¿CUÁNTOS SEGUIDORES SON 1K?	1000
¿CUÁL ERA EL NOMBRE DE PILA DE KARADAGIÁN, EL RECORDADO LUCHADOR PROFESIONAL DE TITANES EN EL RING?	MARTÍN
¿CÓMO COMIENZA LA CANCIÓN PATRIA CONOCIDA COMO AURORA?	ALTA EN EL CIELO
¿CUÁL ES EL NOMBRE DEL DIRECTOR Y DRAMATURGO MUSCARI?	JOSÉ MARÍA
EN LA POPULAR CANCIÓN DE MARÍA ELENA WALSH, ¿DE QUÉ MATERIAL ES LA TETERA?	PORCELANA
¿EN EL ESCUDO NACIONAL DE QUÉ PAÍS SUDAMERICANO SE LEE LA FRASE POR LA RAZÓN O LA FUERZA?	CHILE
¿CUÁL ES EL NOMBRE DEL CABALLO DEL ZORRO EN LA FAMOSA SERIE TELEVISIVA?	TORNADO
¿DE QUÉ PAÍS ES ORIGINALMENTE EL ORIGAMI?	JAPÓN
¿EN QUÉ PLAZA DE LA ARGENTINA SE ENCUENTRA LA FLORALIS GENÉRICA?	PLAZA DE LAS NACIONES UNIDAS
¿A QUÉ ÓRGANO DEL CUERPO AFECTA EL GLAUCOMA?	OJOS
¿QUÉ ACTOR INTERPRETABA AL SEÑOR BARRIGA EN LA SERIE TELEVISIVA EL CHAVO DEL 8?	ÉDGAR VIVAR
¿A QUÉ CIUDAD COSTERA SE LE LLAMA LA PERLA DEL ATLÁNTICO?	MAR DEL PLATA
EN SU VESTIMENTA HABITUAL, ¿CUÁL DE ESTOS DIBUJOS ANIMADOS NO USA PANTALONES?	PATO DONALD
¿DE QUÉ FORMA FALLECIÓ JORGE NEWBERY, UNO DE LOS PIONEROS DE LA AVIACIÓN ARGENTINA?	EN UN ACCIDENTE AÉREO
¿CUÁL ES LA BASE DE LA TÍPICA PAELLA?	ARROZ
¿EN QUÉ LOCALIDAD DE LA PROVINCIA DE BUENOS AIRES SE ENCUENTRA LA RESIDENCIA OFICIAL DE VERANO DEL PRESIDENTE DE LA NACIÓN?	CHAPADMALAL
¿CON QUÉ PROVINCIA ESTÁN ESTRECHAMENTE RELACIONADOS LOS HERMANOS RODRÍGUEZ SAÁ?	SAN LUIS
¿CUÁL DE ESTOS SIGNOS DEL ZODÍACO SUELE REPRESENTARSE CON LA IMAGEN DE UNA BALANZA?	LIBRA
¿EN QUÉ PAÍS SE ORIGINÓ EL FAMOSO CIRQUE DU SOLEIL?	CANADÁ
